Time (us),Voltage (V)
1440,28.77783501
1440.5,28.71714362
1441,28.73737408
1441.5,28.73737408
1442,28.73737408
1442.5,28.72725885
1443,28.74748932
1443.5,28.73737408
1444,28.72725885
1444.5,28.73737408
1445,28.72725885
1445.5,28.72725885
1446,28.82841117
1446.5,28.71714362
1447,28.72725885
1447.5,28.74748932
1448,28.73737408
1448.5,28.73737408
1449,28.76771978
1449.5,28.73737408
1450,28.72725885
1450.5,28.72725885
1451,28.73737408
1451.5,28.72725885
1452,28.76771978
1452.5,28.70702839
1453,28.73737408
1453.5,28.76771978
1454,28.71714362
1454.5,28.74748932
1455,28.74748932
1455.5,28.76771978
1456,28.72725885
1456.5,28.74748932
1457,28.75760455
1457.5,28.75760455
1458,28.71714362
1458.5,28.74748932
1459,28.74748932
1459.5,28.72725885
1460,28.76771978
1460.5,28.75760455
1461,28.75760455
1461.5,28.73737408
1462,28.75760455
1462.5,28.74748932
1463,28.75760455
1463.5,28.72725885
1464,28.75760455
1464.5,28.79806548
1465,28.77783501
1465.5,28.69691316
1466,28.80818071
1466.5,28.71714362
1467,28.75760455
1467.5,28.73737408
1468,28.75760455
1468.5,28.73737408
1469,28.74748932
1469.5,28.73737408
1470,28.75760455
1470.5,28.75760455
1471,28.73737408
1471.5,28.71714362
1472,28.75760455
1472.5,28.75760455
1473,28.76771978
1473.5,28.75760455
1474,28.75760455
1474.5,28.75760455
1475,28.73737408
1475.5,28.74748932
1476,28.72725885
1476.5,28.75760455
1477,28.74748932
1477.5,28.75760455
1478,28.73737408
1478.5,28.76771978
1479,28.75760455
1479.5,28.75760455
1480,28.77783501
1480.5,28.76771978
1481,28.76771978
1481.5,28.74748932
1482,28.75760455
1482.5,28.73737408
1483,28.73737408
1483.5,28.74748932
1484,28.74748932
1484.5,28.74748932
1485,28.75760455
1485.5,28.74748932
1486,28.75760455
1486.5,28.75760455
1487,28.76771978
1487.5,28.74748932
1488,28.76771978
1488.5,28.73737408
1489,28.76771978
1489.5,28.73737408
1490,28.76771978
1490.5,28.74748932
1491,28.76771978
1491.5,28.75760455
1492,28.75760455
1492.5,28.76771978
1493,28.73737408
1493.5,28.74748932
1494,28.80818071
1494.5,28.87898733
1495,28.74748932
1495.5,28.74748932
1496,28.76771978
1496.5,28.69691316
1497,28.80818071
1497.5,28.73737408
1498,28.73737408
1498.5,28.74748932
1499,28.77783501
1499.5,28.73737408
1500,28.77783501
1500.5,28.78795024
1501,28.77783501
1501.5,28.76771978
1502,28.79806548
1502.5,28.77783501
1503,28.76771978
1503.5,28.74748932
1504,28.75760455
1504.5,28.75760455
1505,28.74748932
1505.5,28.75760455
1506,28.74748932
1506.5,28.76771978
1507,28.74748932
1507.5,28.77783501
1508,28.75760455
1508.5,28.76771978
1509,28.75760455
1509.5,28.75760455
1510,28.76771978
1510.5,28.74748932
1511,28.74748932
1511.5,28.74748932
1512,28.76771978
1512.5,28.75760455
1513,28.72725885
1513.5,28.75760455
1514,28.74748932
1514.5,28.74748932
1515,28.77783501
1515.5,28.75760455
1516,28.78795024
1516.5,28.76771978
1517,28.74748932
1517.5,28.75760455
1518,28.76771978
1518.5,28.75760455
1519,28.74748932
1519.5,28.73737408
1520,28.75760455
1520.5,28.74748932
1521,28.73737408
1521.5,28.74748932
1522,28.74748932
1522.5,28.74748932
1523,28.73737408
1523.5,28.74748932
1524,28.75760455
1524.5,28.72725885
1525,28.75760455
1525.5,28.76771978
1526,28.75760455
1526.5,28.73737408
1527,28.73737408
1527.5,28.74748932
1528,28.73737408
1528.5,28.74748932
1529,28.74748932
1529.5,28.74748932
1530,28.76771978
1530.5,28.73737408
1531,28.78795024
1531.5,28.75760455
1532,28.77783501
1532.5,28.74748932
1533,28.76771978
1533.5,28.70702839
1534,28.77783501
1534.5,28.74748932
1535,28.74748932
1535.5,28.71714362
1536,28.76771978
1536.5,28.74748932
1537,28.73737408
1537.5,28.75760455
1538,28.75760455
1538.5,28.74748932
1539,28.74748932
1539.5,28.72725885
1540,28.73737408
1540.5,28.74748932
1541,28.73737408
1541.5,28.72725885
1542,28.72725885
1542.5,28.74748932
1543,28.73737408
1543.5,28.73737408
1544,28.72725885
1544.5,28.74748932
1545,28.75760455
1545.5,28.72725885
1546,28.75760455
1546.5,28.73737408
1547,28.74748932
1547.5,28.73737408
1548,28.73737408
1548.5,28.72725885
1549,28.73737408
1549.5,28.72725885
1550,28.646337
1550.5,28.73737408
1551,28.73737408
1551.5,28.73737408
1552,28.72725885
1552.5,28.74748932
1553,28.75760455
1553.5,28.73737408
1554,28.73737408
1554.5,28.79806548
1555,28.72725885
1555.5,28.74748932
1556,28.72725885
1556.5,28.71714362
1557,28.74748932
1557.5,28.74748932
1558,28.73737408
1558.5,28.74748932
1559,28.73737408
1559.5,28.72725885
1560,28.75760455
1560.5,28.73737408
1561,28.72725885
1561.5,28.3934562
1562,26.26925748
1562.5,22.36477793
1563,20.8677236
1563.5,20.6148428
1564,21.47463752
1564.5,21.39371566
1565,21.23187195
1565.5,21.3127938
1566,21.19141102
1566.5,21.28244811
1567,21.25210241
1567.5,21.28244811
1568,21.27233288
1568.5,21.27233288
1569,21.32290904
1569.5,21.27233288
1570,21.28244811
1570.5,21.28244811
1571,21.28244811
1571.5,21.28244811
1572,21.3127938
1572.5,21.26221764
1573,21.3127938
1573.5,21.3127938
1574,21.23187195
1574.5,21.28244811
1575,21.32290904
1575.5,21.26221764
1576,21.29256334
1576.5,21.27233288
1577,21.28244811
1577.5,21.26221764
1578,21.30267857
1578.5,21.28244811
1579,21.23187195
1579.5,21.26221764
1580,21.27233288
